SORT_ORDER,Crime,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,Total
1,Murder,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12
2,Rape**,4,3,4,1,4,1,1,1,2,4,0,2,0,2,-1,4,3,5,3,1,3,2,0,0,2,1,2,1,4,3,3,1,1,0,0,2,2,0,0,2,0,0,2,3,0,2,4,1,4,3,1,1,2,3,2,3,0,1,1,3,1,2,2,2,0,5,1,3,2,0,2,3,1,1,1,1,1,1,1,1,1,4,3,0,3,0,4,2,2,3,2,3,6,3,1,4,5,2,3,1,6,4,3,1,4,0,4,2,,216
3,Armed Robbery,2,1,2,4,3,1,1,0,1,5,0,2,3,3,1,1,1,1,2,0,2,4,0,2,1,3,1,1,1,1,0,1,2,2,2,0,0,0,1,2,2,1,3,2,2,0,0,0,0,0,2,2,1,1,1,2,2,2,1,0,2,1,1,0,2,0,0,2,3,2,0,1,0,0,1,1,1,0,0,1,3,4,0,2,1,0,1,1,0,1,1,0,0,1,4,1,1,0,1,2,3,1,1,0,0,3,2,1,,137
4,Strong Arm Robbery,3,5,2,2,3,0,1,1,5,4,1,2,3,2,0,2,3,3,4,4,4,1,2,2,1,3,2,3,1,1,2,4,2,0,0,4,0,2,2,2,3,3,1,3,2,1,3,3,1,6,2,4,2,5,4,9,4,2,1,6,1,3,4,3,6,0,1,1,4,2,4,4,2,4,2,4,2,4,1,4,1,0,3,2,2,0,2,3,2,2,3,4,3,3,3,4,2,4,1,3,4,4,3,2,1,3,1,3,,277
5,Aggravated Assault**,6,8,10,16,24,18,18,9,10,17,18,20,22,18,23,14,15,14,8,19,15,13,5,16,14,11,8,17,13,9,8,15,5,7,3,15,14,7,13,17,19,13,25,12,9,18,14,21,15,20,15,11,13,10,11,15,18,12,10,11,13,16,10,19,4,7,15,11,25,16,13,8,7,15,11,11,17,12,10,16,9,5,14,5,12,4,16,9,8,6,7,6,10,3,6,7,15,7,8,21,13,10,14,5,14,5,13,13,,1345
6,Total Violent Crime,16,17,18,23,34,20,21,12,18,33,19,26,29,25,23,22,22,23,17,24,24,20,7,20,18,18,13,22,19,14,13,21,10,9,5,22,17,10,16,23,24,17,31,21,10,21,21,25,20,29,20,18,19,19,18,30,24,17,13,20,17,22,17,24,13,12,17,17,34,20,19,16,11,20,15,17,21,17,12,22,14,13,20,9,18,4,23,15,12,12,13,13,19,10,14,16,23,13,13,27,26,19,21,8,19,11,20,19,,1987
7,Residential Burglary,14,21,21,23,24,21,32,24,35,20,30,21,20,23,15,18,15,22,35,8,21,21,20,15,17,8,18,18,16,21,24,31,33,24,22,29,17,19,28,34,21,29,17,19,38,26,18,25,29,30,24,31,27,21,22,28,18,23,12,26,21,38,43,25,19,21,22,14,36,15,22,24,19,21,15,17,13,22,13,18,8,14,16,30,29,17,25,21,18,23,22,9,12,14,12,21,22,21,16,29,30,15,22,17,10,14,10,11,,2308
8,Non-Residential Burglary,20,19,16,10,18,21,26,22,23,22,10,21,16,18,14,20,10,13,19,22,13,8,11,14,8,9,23,17,15,11,13,13,15,15,7,13,11,7,10,14,21,26,17,10,20,20,15,11,11,11,17,14,20,20,16,16,27,23,13,19,22,17,22,22,21,14,21,21,10,14,13,15,8,12,10,10,12,10,9,5,6,8,18,0,8,13,10,6,19,9,24,7,7,11,4,23,16,16,16,11,9,7,7,11,9,23,16,14,,1570
9,Total Burglary,34,40,37,33,42,42,58,46,58,42,40,42,36,41,29,38,25,35,54,30,34,29,31,29,25,17,41,35,31,32,37,44,48,39,29,42,28,26,38,48,42,55,34,29,58,46,33,36,40,41,41,45,47,41,38,44,45,46,25,45,43,55,65,47,40,35,43,35,46,29,35,39,27,33,25,27,25,32,22,23,14,22,34,30,37,30,35,27,37,32,46,16,19,25,16,44,38,37,32,40,39,22,29,28,19,37,26,25,,3878
10,Theft >= $400,61,67,79,52,60,58,38,36,43,47,29,45,25,38,41,49,40,52,53,48,48,21,50,34,59,36,54,58,50,33,28,44,62,51,32,45,52,32,46,58,50,42,40,42,62,47,43,51,49,54,53,57,55,52,77,70,53,52,48,45,65,44,49,66,61,50,42,36,38,50,56,42,46,37,49,39,38,51,40,43,49,52,46,45,51,37,85,51,55,61,49,50,44,64,45,55,53,43,50,46,69,49,50,41,52,53,29,54,,5266
