SORT_ORDER,Crime,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,Total
1,Murder,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,13
2,Rape**,5,3,2,3,2,2,3,3,3,2,2,5,2,4,3,0,1,2,2,2,4,0,1,2,1,3,2,0,0,1,4,0,1,3,2,4,3,6,2,4,2,0,2,0,0,2,2,0,4,4,4,3,3,1,3,2,0,0,1,1,3,4,1,4,1,4,1,4,5,2,3,1,1,4,0,1,0,1,3,2,2,4,3,1,7,3,8,3,7,2,6,2,5,5,0,3,5,7,9,4,2,3,5,1,2,5,6,2,,285
3,Armed Robbery,4,4,7,7,6,13,3,4,8,10,4,5,3,7,7,5,3,4,5,6,2,3,0,2,2,3,3,1,2,1,3,7,4,8,1,8,3,5,3,8,9,4,6,8,3,2,1,4,3,2,5,5,8,5,12,5,12,5,6,9,3,10,5,9,5,2,6,5,7,8,6,3,4,4,8,1,5,6,5,1,5,2,5,2,1,2,3,4,4,5,9,4,3,6,6,3,3,3,4,6,5,5,4,7,5,6,6,6,,525
4,Strong Arm Robbery,15,4,11,13,8,20,12,13,9,13,10,13,14,11,13,16,17,13,12,16,17,16,11,7,3,11,11,11,18,10,7,20,13,13,7,6,15,12,12,10,10,10,11,7,12,14,4,9,9,7,9,7,9,7,12,10,11,9,8,7,12,8,4,5,1,9,5,8,4,2,7,9,12,9,11,6,3,4,6,6,3,7,2,2,8,4,4,7,5,5,5,7,7,7,3,6,5,11,11,5,12,3,10,6,9,6,8,6,,970
5,Aggravated Assault**,26,25,28,33,33,46,26,7,13,17,9,21,15,19,22,23,11,13,20,21,13,14,10,18,19,25,19,15,18,6,17,25,17,14,26,32,12,28,25,23,28,40,27,32,25,13,20,14,19,14,23,16,18,16,39,31,16,30,13,26,41,31,19,34,23,28,22,18,19,9,13,19,23,16,12,14,13,5,19,14,12,11,14,12,19,18,17,20,20,23,11,15,21,16,20,19,10,18,21,11,22,16,16,14,16,18,7,18,,2111
6,Total Violent Crime,50,36,48,56,50,81,44,27,33,43,25,44,34,42,45,44,32,32,39,45,36,33,22,29,25,42,35,27,38,18,31,52,35,38,36,50,33,51,42,45,51,54,46,47,40,31,27,28,35,27,41,31,38,29,67,48,39,44,28,43,59,54,29,52,30,43,34,35,35,21,29,32,42,34,31,22,21,16,33,23,22,24,24,17,35,27,32,34,36,35,31,29,36,34,29,31,24,39,45,26,41,27,35,28,32,35,27,32,,3904
7,Residential Burglary,18,22,15,30,26,22,29,18,29,28,25,18,20,22,14,23,22,29,22,18,21,25,28,29,23,19,30,21,21,33,33,21,28,36,19,15,20,18,23,31,32,25,35,35,42,20,29,24,24,29,27,28,34,17,20,22,21,26,19,31,31,35,34,33,32,16,27,17,17,17,20,16,15,19,17,26,32,25,51,41,36,16,15,11,15,14,17,19,20,22,23,12,14,23,11,20,15,21,13,26,17,19,19,19,14,31,20,25,,2532
8,Non-Residential Burglary,23,29,19,23,32,25,22,29,40,31,14,21,21,18,14,16,23,18,12,19,18,16,23,26,19,32,20,21,7,17,16,13,31,28,15,14,23,21,21,14,22,27,30,30,27,16,13,19,18,18,22,13,15,20,20,13,23,14,14,15,6,20,7,12,22,14,21,18,20,24,19,12,17,12,15,17,8,13,19,12,13,18,24,8,14,17,10,25,16,16,14,13,14,22,26,18,11,9,21,21,10,34,16,11,13,23,18,21,,2017
9,Total Burglary,41,51,34,53,58,47,51,47,69,59,39,39,41,40,28,39,45,47,34,37,39,41,51,55,42,51,50,42,28,50,49,34,59,64,34,29,43,39,44,45,54,52,65,65,69,36,42,43,42,47,49,41,49,37,40,35,44,40,33,46,37,55,41,45,54,30,48,35,37,41,39,28,32,31,32,43,40,38,70,53,49,34,39,19,29,31,27,44,36,38,37,25,28,45,37,38,26,30,34,47,27,53,35,30,27,54,38,46,,4549
10,Theft >= $400,54,60,44,55,61,63,58,36,44,39,30,44,34,29,53,39,39,27,46,36,52,42,41,31,29,45,40,48,40,45,45,48,42,58,40,44,33,40,49,30,52,36,37,35,49,34,41,44,34,62,37,34,35,37,49,43,52,49,48,54,40,57,59,16,47,38,38,31,26,38,19,30,35,32,28,29,20,27,94,23,38,32,45,50,37,33,47,38,49,39,43,37,60,53,44,61,46,66,51,54,53,47,40,58,43,53,46,45,,4630
