SORT_ORDER,Crime,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,Total
1,Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6
2,Rape**,1,2,2,1,1,2,2,0,0,3,2,0,1,0,0,0,3,1,0,1,0,1,2,2,2,0,2,2,2,0,2,-1,0,0,3,0,0,0,1,2,0,0,1,0,2,1,0,1,2,0,0,1,-1,4,0,-1,3,0,0,1,1,1,2,0,0,1,0,0,1,5,0,-1,0,1,2,0,1,2,3,2,1,0,2,3,2,1,0,3,0,2,0,1,1,2,3,6,2,0,1,0,4,3,1,1,0,2,0,1,,119
3,Armed Robbery,5,5,6,4,3,7,6,7,3,11,5,2,2,4,6,4,10,5,4,5,2,5,3,3,0,0,3,4,2,1,1,3,4,2,3,3,3,1,2,5,2,2,3,6,9,1,3,7,3,2,2,4,4,1,6,0,4,4,4,0,5,5,0,1,0,5,3,2,5,5,2,5,0,2,1,6,4,3,1,2,1,4,5,1,0,2,1,3,4,0,2,3,0,2,4,5,5,2,2,4,2,0,2,2,3,2,1,3,,343
4,Strong Arm Robbery,7,2,7,6,1,9,5,7,6,5,3,5,6,1,2,3,3,7,7,5,5,5,3,6,2,6,2,5,4,2,2,1,6,5,6,4,3,8,2,7,3,3,3,3,3,1,0,8,2,6,1,4,0,5,10,1,6,4,2,2,3,2,4,1,3,2,6,2,3,3,2,2,2,5,3,5,0,2,3,0,4,1,4,3,5,3,2,5,3,3,2,7,5,3,2,5,2,2,0,1,5,0,2,2,0,2,0,3,,377
5,Aggravated Assault**,12,4,4,6,12,6,6,9,12,10,4,6,11,6,10,10,6,11,14,7,7,16,8,7,7,16,8,2,8,6,15,4,7,5,6,14,10,15,10,16,6,10,10,6,14,3,1,18,7,7,26,6,7,16,10,10,26,3,11,10,4,10,3,8,11,9,15,12,13,16,7,10,5,9,10,10,9,8,20,9,11,4,18,6,9,9,9,18,12,12,3,9,6,8,5,14,13,21,9,8,4,10,12,8,8,12,6,18,,1040
6,Total Violent Crime,25,13,19,17,17,24,19,23,21,29,14,13,20,11,18,17,22,24,25,18,14,27,16,18,11,22,15,13,16,9,20,7,17,12,18,21,16,24,15,30,11,16,17,15,28,6,4,34,14,15,29,15,10,27,27,10,39,11,17,13,13,18,9,10,14,17,24,16,22,29,11,16,7,17,16,21,14,15,27,13,17,9,29,13,16,17,12,29,19,17,7,21,12,15,14,30,22,25,12,13,15,13,17,13,11,18,7,25,,1885
7,Residential Burglary,13,11,13,23,13,16,17,19,14,20,10,24,20,18,33,23,24,21,21,23,14,31,24,15,20,25,27,22,8,11,17,12,20,14,12,12,15,19,12,15,19,27,25,14,39,22,17,22,18,12,16,29,27,19,7,20,22,26,14,15,31,13,9,16,18,27,33,12,15,40,18,13,19,22,6,16,10,18,13,15,11,18,7,7,21,22,13,20,13,14,11,24,14,22,18,30,27,28,18,24,10,18,15,9,12,15,13,4,,1953
8,Non-Residential Burglary,7,14,10,6,3,4,9,7,18,6,6,7,5,7,9,17,13,5,7,10,12,15,25,7,9,21,14,8,7,11,18,12,32,7,9,12,7,15,7,5,6,2,9,5,11,16,4,11,4,3,7,15,11,17,4,5,18,14,10,12,18,15,11,3,9,19,20,8,12,25,11,2,6,12,7,6,8,2,6,5,5,15,9,5,5,9,3,17,5,6,5,10,3,5,9,9,12,7,6,11,13,10,10,13,6,8,6,11,,1045
9,Total Burglary,20,25,23,29,16,20,26,26,32,26,16,31,25,25,42,40,37,26,28,33,26,46,49,22,29,46,41,30,15,22,35,24,52,21,21,24,22,34,19,20,25,29,34,19,50,38,21,33,22,15,23,44,38,36,11,25,40,40,24,27,49,28,20,19,27,46,53,20,27,65,29,15,25,34,13,22,18,20,19,20,16,33,16,12,26,31,16,37,18,20,16,34,17,27,27,39,39,35,24,35,23,28,25,22,18,23,19,15,,2998
10,Theft >= $400,45,42,54,38,39,53,41,47,49,36,27,33,25,28,39,38,20,23,31,35,26,39,38,51,40,32,53,28,17,37,42,12,54,39,35,29,21,13,16,25,17,30,23,20,60,27,28,41,26,28,54,33,39,26,23,29,38,54,39,39,41,31,35,19,41,29,74,31,50,77,20,23,27,37,35,27,23,26,28,23,26,35,44,28,28,41,17,44,22,29,29,58,47,19,30,54,53,48,41,44,26,37,38,30,35,33,36,25,,3758
11,Theft < $400,79,74,76,65,71,97,88,63,90,65,51,79,69,61,97,65,58,72,81,75,55,79,89,113,86,93,61,57,52,55,82,61,98,76,85,63,50,71,40,65,29,49,24,28,86,30,51,61,60,74,79,64,81,51,41,91,88,83,75,57,84,57,59,52,75,103,108,64,81,111,62,66,46,86,67,67,59,41,75,44,47,67,79,62,67,88,45,91,52,59,54,81,67,55,57,60,68,51,52,51,46,59,51,62,42,62,48,43,,7182
12,Total Thefts,124,116,130,103,110,150,129,110,139,101,78,112,94,89,136,103,78,95,112,110,81,118,127,164,126,125,114,85,69,92,124,73,152,115,120,92,71,84,56,90,46,79,47,48,146,57,79,102,86,102,133,97,120,77,64,120,126,137,114,96,125,88,94,71,116,132,182,95,131,188,82,89,73,123,102,94,82,67,103,67,73,102,123,90,95,129,62,135,74,88,83,139,114,74,87,114,121,99,93,95,72,96,89,92,77,95,84,68,,10940
13,Motor Vehicle Theft,54,26,26,25,24,20,25,29,20,21,21,22,19,11,20,20,19,11,27,29,19,32,35,37,20,24,16,18,13,22,14,14,25,6,28,20,10,22,13,15,15,19,31,11,10,23,21,28,18,10,15,22,12,15,22,1,32,32,9,15,17,8,33,5,48,16,37,12,18,22,17,23,17,19,10,17,12,8,8,18,13,6,12,19,19,23,14,30,15,18,20,15,27,30,21,25,23,16,11,11,15,18,15,19,14,18,13,16,,2094
14,Total Property Crime,198,167,179,157,150,190,180,165,191,148,115,165,138,125,198,163,134,132,167,172,126,196,211,223,175,195,171,133,97,136,173,111,229,142,169,136,103,140,88,125,86,127,112,78,206,118,121,163,126,127,171,163,170,128,97,146,198,209,147,138,191,124,147,95,191,194,272,127,176,275,128,127,115,176,125,133,112,95,130,105,102,141,151,121,140,183,92,202,107,126,119,188,158,131,135,178,183,150,128,141,110,142,129,133,109,136,116,99,,16032
15,Crime Index,223,180,198,174,167,214,199,188,212,177,129,178,158,136,216,180,156,156,192,190,140,223,227,241,186,217,186,146,113,145,193,118,246,154,187,157,119,164,103,155,97,143,129,93,234,124,125,197,140,142,200,178,180,155,124,156,237,220,164,151,204,142,156,105,205,211,296,143,198,304,139,143,122,193,141,154,126,110,157,118,119,150,180,134,156,200,104,231,126,143,126,209,170,146,149,208,205,175,140,154,125,155,146,146,120,154,123,124,,17917
