SORT_ORDER,Crime,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,Total
1,Murder,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,-1,3,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,,24
2,Rape**,3,3,2,4,2,3,1,6,2,0,0,2,1,0,0,0,6,3,2,1,1,0,1,3,1,0,3,0,1,1,2,4,0,0,0,0,0,3,1,2,1,0,1,1,1,0,1,2,5,1,2,1,2,1,4,-1,1,-1,2,0,1,2,1,1,2,1,0,0,1,2,2,0,2,5,0,0,1,0,1,0,3,0,2,0,1,2,2,5,1,1,2,1,0,2,1,1,2,1,1,1,0,2,6,0,0,1,3,4,,155
3,Armed Robbery,7,7,3,5,10,7,4,3,4,2,4,4,9,10,9,7,7,2,6,5,4,6,1,5,1,3,6,7,6,3,3,4,7,5,1,4,3,7,1,2,3,9,2,2,3,6,7,9,1,4,7,6,1,2,3,3,2,5,1,2,3,6,1,1,4,3,0,5,4,3,2,4,0,0,0,1,2,2,4,0,2,4,2,3,3,3,8,3,1,4,4,2,2,5,6,4,4,6,6,5,4,3,1,4,6,6,2,4,,424
4,Strong Arm Robbery,7,13,5,10,11,5,11,3,16,9,9,9,4,10,21,19,13,5,10,9,7,10,7,8,7,11,9,10,10,5,4,9,8,7,7,5,10,9,7,6,10,5,12,9,11,7,9,9,7,14,6,7,10,12,10,9,14,12,11,8,11,11,7,7,5,4,4,9,14,7,9,6,8,7,7,5,5,5,5,8,13,12,14,13,2,13,9,8,6,6,9,7,5,3,3,7,3,6,7,7,4,4,2,4,4,2,2,4,,870
5,Aggravated Assault**,16,26,10,16,19,25,37,12,19,22,8,5,18,18,26,17,20,21,28,22,19,26,23,11,23,39,23,20,29,20,30,19,13,13,18,18,24,24,24,19,27,15,12,25,15,19,23,26,14,19,17,22,25,19,15,16,11,21,13,15,17,14,25,12,8,17,11,9,19,9,7,16,13,15,15,19,16,10,13,9,18,19,20,13,21,20,15,18,14,30,14,9,19,19,14,16,12,24,19,10,23,11,8,24,12,19,13,8,,1925
6,Total Violent Crime,33,49,20,35,42,40,53,24,41,33,22,20,33,38,56,43,46,32,47,37,31,42,32,27,33,52,44,37,47,31,39,36,28,25,26,27,37,43,33,32,41,29,27,37,30,32,39,46,28,39,34,36,38,34,32,27,28,37,27,26,32,33,34,21,19,25,15,23,38,22,20,26,23,27,23,25,24,17,23,17,36,35,38,29,27,38,34,34,22,41,29,20,27,29,24,28,23,37,33,23,31,20,17,33,22,28,20,20,,3398
7,Residential Burglary,9,14,8,5,6,11,4,9,15,6,7,11,5,9,6,10,15,9,21,8,18,8,9,9,7,9,19,14,6,14,14,13,13,10,6,3,6,4,13,9,11,11,11,8,10,4,13,8,11,16,15,7,9,6,15,8,6,12,10,12,6,12,14,2,10,9,2,15,11,8,9,7,4,13,5,10,8,6,6,8,8,10,9,10,7,3,8,10,7,4,4,5,8,8,2,7,5,7,7,5,5,7,6,6,9,6,4,8,,945
8,Non-Residential Burglary,23,40,9,23,31,15,3,11,22,26,29,7,19,14,15,13,25,11,16,4,9,17,14,13,19,18,14,10,16,7,11,15,20,18,13,10,16,12,21,18,15,21,12,17,16,19,18,26,20,13,22,21,27,20,14,21,30,23,19,18,16,7,10,15,6,8,8,18,24,15,7,12,22,11,11,15,6,7,7,13,19,9,10,5,4,10,4,15,8,2,8,16,8,26,10,11,3,15,3,12,8,5,7,6,3,5,11,6,,1526
9,Total Burglary,32,54,17,28,37,26,7,20,37,32,36,18,24,23,21,23,40,20,37,12,27,25,23,22,26,27,33,24,22,21,25,28,33,28,19,13,22,16,34,27,26,32,23,25,26,23,31,34,31,29,37,28,36,26,29,29,36,35,29,30,22,19,24,17,16,17,10,33,35,23,16,19,26,24,16,25,14,13,13,21,27,19,19,15,11,13,12,25,15,6,12,21,16,34,12,18,8,22,10,17,13,12,13,12,12,11,15,14,,2471
10,Theft >= $400,24,27,32,24,25,17,31,22,27,21,15,14,8,11,29,28,19,23,24,15,19,23,22,20,15,22,14,24,23,20,29,25,22,31,26,27,16,27,35,23,31,19,19,23,31,24,27,28,19,18,21,19,27,24,48,19,34,37,43,31,35,39,59,29,23,25,17,62,47,27,26,26,23,29,26,25,21,27,19,17,28,46,28,26,17,34,21,20,22,27,18,24,19,22,28,15,19,29,18,22,24,19,26,20,12,31,21,27,,2706
