SORT_ORDER,Crime,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,Total
1,Murder,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,-1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,2,0,0,0,1,0,1,1,0,1,1,0,0,0,1,-1,0,1,0,0,1,2,,43
2,Rape**,7,4,6,2,3,1,4,1,0,3,2,3,10,4,4,4,0,2,1,4,5,5,-3,8,-2,5,2,7,5,1,4,3,2,4,3,0,2,0,3,1,1,3,4,0,7,8,2,-1,4,2,3,4,5,3,1,1,6,2,3,5,1,1,2,3,5,2,6,3,6,0,3,1,2,1,4,4,2,2,14,2,0,4,5,4,5,6,6,0,6,3,2,4,3,3,3,3,6,2,2,5,7,5,2,5,5,4,2,4,,353
3,Armed Robbery,8,6,5,6,10,6,7,3,8,7,4,14,6,4,7,4,9,8,5,8,9,10,11,11,5,5,6,5,7,5,15,3,9,2,4,2,3,5,4,6,9,4,9,2,17,6,10,6,5,6,2,5,6,7,7,7,18,6,12,5,8,11,3,5,4,9,10,10,13,8,4,5,1,2,4,11,5,5,13,4,15,8,5,6,9,7,6,12,12,6,2,3,7,11,3,4,3,4,3,9,10,5,3,2,7,10,7,1,,726
4,Strong Arm Robbery,10,8,7,9,13,10,11,13,9,10,13,15,12,12,18,16,8,18,19,14,9,7,14,10,10,7,8,11,14,7,11,11,10,13,11,9,6,9,5,11,8,3,9,0,26,10,15,11,7,9,11,10,9,9,10,8,12,10,7,9,9,9,4,8,8,7,14,13,6,6,9,11,4,11,4,12,4,5,8,6,8,8,8,5,9,10,8,4,6,5,6,6,18,6,9,4,11,7,8,4,9,14,4,3,7,12,4,8,,1000
5,Aggravated Assault**,16,30,21,34,34,30,20,32,38,29,19,34,28,26,33,25,32,40,20,23,25,31,29,39,42,36,34,26,21,26,15,18,28,22,23,19,23,19,37,22,22,6,23,7,64,36,25,29,36,29,33,31,22,32,31,26,49,18,33,21,36,41,8,30,35,31,44,22,31,22,13,31,34,29,36,37,12,15,36,9,35,34,31,30,14,19,18,27,34,20,19,28,24,26,27,20,25,31,33,28,42,23,25,26,47,38,16,27,,2991
6,Total Violent Crime,42,48,41,52,60,47,42,49,55,49,39,66,56,46,62,50,49,68,45,50,49,53,52,68,55,53,50,50,47,39,45,36,49,41,42,31,33,34,49,40,40,17,45,9,114,60,53,45,54,46,49,50,43,51,49,42,86,36,55,40,55,64,18,47,52,50,74,48,57,36,29,48,41,43,48,64,24,27,72,21,59,54,50,46,37,43,40,43,58,34,30,41,53,47,42,32,46,44,46,46,69,46,34,37,66,64,30,42,,5113
7,Residential Burglary,30,38,51,51,49,42,38,39,50,43,34,44,38,31,39,35,43,60,58,52,39,44,30,41,31,38,57,49,46,49,32,36,35,27,23,21,16,19,24,33,45,18,36,18,91,62,34,63,45,51,34,36,40,28,36,42,65,24,15,29,45,43,15,50,36,46,56,44,28,23,17,38,27,32,23,35,25,20,20,17,21,21,23,13,17,22,24,29,19,25,27,23,25,24,21,13,22,22,15,18,20,10,21,19,19,14,18,18,,3570
8,Non-Residential Burglary,43,19,23,29,29,50,26,33,62,39,36,24,42,15,18,20,8,13,16,9,23,20,17,28,9,12,18,27,23,27,27,19,28,16,15,7,7,6,29,14,17,9,20,6,41,23,25,8,13,14,18,11,14,28,19,22,33,21,23,44,20,22,9,15,21,30,33,20,28,22,15,27,14,13,9,19,11,15,13,11,33,13,17,13,7,23,25,24,13,7,18,17,34,23,13,11,20,18,19,13,19,11,19,7,18,22,12,11,,2182
9,Total Burglary,73,57,74,80,78,92,64,72,112,82,70,68,80,46,57,55,51,73,74,61,62,64,47,69,40,50,75,76,69,76,59,55,63,43,38,28,23,25,53,47,62,27,56,24,132,85,59,71,58,65,52,47,54,56,55,64,98,45,38,73,65,65,24,65,57,76,89,64,56,45,32,65,41,45,32,54,36,35,33,28,54,34,40,26,24,45,49,53,32,32,45,40,59,47,34,24,42,40,34,31,39,21,40,26,37,36,30,29,,5752
10,Theft >= $400,66,59,65,86,69,66,56,67,98,52,50,87,81,59,83,62,52,69,54,69,67,55,55,68,48,87,93,67,70,56,51,68,40,73,59,61,72,54,77,40,67,33,43,34,146,60,56,48,57,75,61,71,52,63,44,63,121,71,90,67,58,62,28,81,79,72,94,71,97,66,69,72,68,60,49,64,33,48,55,31,56,59,62,50,56,60,86,82,65,50,59,52,87,51,57,47,79,99,66,53,75,58,55,56,84,55,44,38,,6931
